'Month','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW'
2007-01,11,15,0,0,0,0,0,0,0,0,0
2007-02,35,22,5,7,0,0,0,0,0,0,0
2007-03,66,28,5,14,0,0,0,0,0,0,0
2007-04,88,38,5,27,0,0,0,0,0,0,0
2007-05,120,55,10,27,0,0,0,0,0,0,0
2007-06,173,61,15,27,0,0,0,0,0,0,0
2007-07,274,78,20,27,0,0,0,0,0,0,0
2007-08,372,105,37,27,0,0,0,0,0,0,0
2007-09,499,150,52,27,0,0,0,0,0,0,0
2007-10,630,205,68,27,0,0,0,0,0,0,0
2007-11,785,241,68,27,0,0,0,0,0,0,0
2007-12,914,284,73,27,0,0,0,64,0,0,0
2008-01,1063,324,73,27,0,0,0,163,0,0,0
2008-02,1270,373,78,27,0,0,0,163,0,0,0
2008-03,1491,411,96,41,0,0,0,163,0,0,0
2008-04,1705,445,108,48,0,0,36,163,0,0,0
2008-05,1983,486,118,56,0,0,36,163,0,0,0
2008-06,2220,513,135,56,0,0,36,163,0,0,0
2008-07,2504,575,156,56,12,0,36,163,0,0,0
2008-08,2808,636,156,63,23,0,36,163,0,0,0
2008-09,3108,707,189,94,33,0,36,163,0,0,0
2008-10,3483,801,205,102,43,0,36,163,0,0,0
2008-11,3896,857,210,110,43,0,36,163,0,0,0
2008-12,4432,979,242,125,54,0,36,163,0,0,0
2009-01,4955,1046,262,132,54,0,36,163,0,0,0
2009-02,5673,1130,273,139,54,43,36,163,0,0,0
2009-03,6539,1221,301,139,54,58,36,263,0,0,0
2009-04,7430,1338,418,146,102,81,36,263,0,0,0
2009-05,8433,1468,462,160,122,81,36,263,0,0,0
2009-06,9490,1575,515,167,122,98,36,263,0,0,0
2009-07,10669,1677,591,188,132,98,70,263,0,0,0
2009-08,12285,1836,637,201,142,98,107,263,0,0,0
2009-09,14318,2027,732,208,152,98,107,263,0,0,0
2009-10,16395,2267,874,238,152,122,164,263,0,0,0
2009-11,18873,2533,1096,277,172,122,164,263,0,0,0
2009-12,21008,2897,1299,307,264,162,200,314,0,0,0
2010-01,23122,3237,1450,353,396,162,200,314,0,0,0
2010-02,25984,3929,1717,431,596,222,200,314,0,0,0
2010-03,30062,5062,2268,527,998,327,260,314,0,0,0
2010-04,34877,6682,2746,623,1423,347,260,314,0,0,0
2010-05,41164,8672,3337,833,2125,367,260,314,0,0,0
2010-06,49120,11698,4412,1195,3535,367,289,514,0,0,0
2010-07,57689,15083,5799,1629,4865,404,319,514,0,0,0
2010-08,66979,18921,7388,2137,6501,404,449,579,0,0,0
2010-09,77450,23503,9109,2516,8273,420,521,579,0,0,0
2010-10,89411,28545,11090,3208,9939,457,551,579,0,0,0
2010-11,102913,34680,13455,3701,11860,473,614,579,0,0,0
2010-12,111944,38712,14944,4146,13676,492,614,579,0,0,0
2011-01,126370,45787,17598,4764,16862,553,751,579,0,0,0
2011-02,140356,52287,20227,5589,19866,608,841,721,0,0,0
2011-03,155053,59330,23351,6314,24274,706,1017,721,0,0,0
2011-04,167346,64895,25615,7079,28664,779,1047,721,0,0,0
2011-05,184282,71827,28106,7711,32961,875,1197,721,0,0,0
2011-06,205214,81219,31123,8315,35967,1139,1402,721,0,0,0
2011-07,207935,82635,31680,8511,36804,1318,1532,721,0,0,0
2011-08,210332,83972,32103,8620,37517,1421,1631,721,0,0,0
2011-09,212494,85099,32463,8813,38137,1482,1631,721,100,0,0
2011-10,214678,86532,32877,8907,38797,1588,1909,721,100,0,0
2011-11,217006,88230,33513,9025,40153,1664,1968,772,100,0,0
2011-12,219283,89811,34154,9228,40552,1808,2045,822,100,0,0
2012-01,221145,91064,34587,9393,40798,1906,2247,948,100,0,0
2012-02,223861,92881,35195,9655,41349,2013,2319,948,100,0,0
2012-03,227743,95252,35998,9943,41835,2127,2379,1047,100,0,0
2012-04,232147,97821,36856,10260,42308,2186,2409,1047,100,0,0
2012-05,240911,103535,38812,10586,42964,2380,2571,1189,100,0,0
2012-06,254817,113052,42705,11180,45322,3011,2924,1496,100,0,0
2012-07,258272,115982,43784,11341,45577,3277,3132,1612,100,0,0
2012-08,261907,119185,45218,11870,45860,3449,3272,1662,100,0,0
2012-09,265154,122378,46673,12369,46292,3761,3464,1825,100,0,0
2012-10,268435,126383,48591,12850,46679,4024,3589,2366,300,0,0
2012-11,272292,131445,50957,13282,47205,4295,3929,2777,300,0,0
2012-12,277788,139963,55089,13918,48359,4899,4379,3179,300,0,0
2013-01,279958,143963,57176,14210,48927,5195,4509,3658,300,0,0
2013-02,282321,148568,59681,14573,49779,5746,4670,3966,500,0,0
2013-03,284353,152735,62029,15097,50417,6167,5103,4874,600,0,0
2013-04,285976,156546,64318,15399,51145,6515,5515,5583,900,0,0
2013-05,287957,160949,67252,15960,51935,6984,6043,6345,900,0,0
2013-06,289429,164595,69424,16425,52812,7587,6648,6649,1100,0,0
2013-07,291253,169120,72588,16844,53578,8300,7283,7347,1300,0,0
2013-08,292941,173870,76246,17393,54471,9032,7969,7807,1600,0,0
2013-09,294585,178450,79575,17989,55508,9694,8660,8541,1900,0,0
2013-10,296262,183068,82593,18449,56563,10491,9556,9486,1900,0,0
2013-11,297813,187015,85579,18906,57366,11221,10109,10530,2200,0,0
2013-12,298965,190592,88442,19447,58160,12068,11056,11683,2600,0,0
2014-01,300171,193637,90803,19734,58741,12610,11506,12497,2825,0,0
2014-02,301522,197349,93390,20151,59431,13049,12032,13338,3364,0,0
2014-03,302858,201378,96210,20484,60103,13660,12779,14664,3464,0,0
2014-04,304275,205301,99349,20791,60846,14176,13517,15299,4350,0,0
2014-05,305667,210157,103408,21218,61834,14908,14393,17059,5809,20000,0
2014-06,306979,214543,107224,21692,62726,15805,15244,18341,6078,20000,0
2014-07,308360,219446,111394,22250,63650,16573,16159,19930,6774,20000,0
2014-08,309648,224051,115519,22797,64600,17600,17160,21255,7374,20000,0
2014-09,311168,229606,120772,23515,65705,18619,18456,22851,7474,20000,0
2014-10,312677,235691,126468,24231,66889,19623,19798,24026,7774,20000,0
2014-11,313850,240805,131684,25092,68070,20262,20987,26121,8248,20000,0
2014-12,314884,245557,136601,25990,69051,21237,22091,27830,8648,20000,0
2015-01,315751,249538,141020,26504,69840,21897,22925,29603,8648,20000,0
2015-02,316673,253943,146705,27352,71055,22992,24076,31684,9148,20000,0
2015-03,317670,258315,151924,28316,72186,23966,25224,33641,10335,20000,102000
2015-04,318461,261593,156229,28999,72931,24758,26152,34724,10735,20000,102000
2015-05,319404,265474,161036,29933,74158,25828,27385,36286,10849,20000,102000
2015-06,320179,269402,166029,30679,75338,27169,28505,37725,11249,20000,102000
2015-07,320971,273426,171648,31461,76617,28360,29653,39014,11999,20000,155000
2015-08,321713,277340,177444,32214,77490,29285,31040,39906,11999,20000,155000
2015-09,322430,281013,182792,32893,78584,30296,31816,41236,13217,20000,155000
2015-10,323114,284341,187764,33668,79648,31408,32826,43386,13317,20000,155000
2015-11,323841,287920,192702,34389,80736,32185,33953,44418,14546,20000,155000
2015-12,324426,291001,197287,35125,81827,33011,34885,46363,16665,20000,155000
2016-01,324840,293288,200576,35563,82638,33615,35536,47249,16965,20000,155000
2016-02,325433,296314,205292,36266,83492,34487,36457,48824,17449,20000,211000
2016-03,326063,299331,210092,36993,84346,35148,37146,50403,18187,20000,211000
2016-04,326668,302206,214732,37836,85357,35959,37836,52485,18187,20000,211000
2016-05,327283,305143,219503,38571,86296,36709,38762,55126,18485,20000,211000
2016-06,327865,307655,223991,39342,87283,37901,39673,56633,19743,20000,211000
2016-07,328473,310378,228312,40079,88459,38812,40433,58517,20062,20000,211000
2016-08,329293,313544,233307,40983,89587,39671,41606,60114,20591,20000,211000
2016-09,329962,316495,238473,41838,90861,40787,42960,61449,23489,20000,211000
2016-10,330680,319278,243795,42543,92093,41588,43852,63510,23689,20000,211000
2016-11,331463,323188,250704,43472,93533,42590,44741,64771,26019,20000,211000
2016-12,332224,326903,258145,44505,95488,43985,46847,68359,26019,43988,211000
2017-01,332895,329491,263445,45214,96378,44447,47187,69044,26944,43988,211000
2017-02,334115,332990,270246,46152,97848,45415,48287,69881,27244,43988,211000
2017-03,335438,336656,277575,47202,99511,46210,49887,72044,27971,43988,211000
2017-04,336307,339677,284123,48237,100891,46858,50860,73488,28201,43988,211000
2017-05,337152,343494,292514,49720,102904,48226,51849,76648,33171,43988,211000
2017-06,337919,346830,300575,51288,104851,49603,53593,79740,35040,43988,211000
2017-07,338688,350366,310524,52837,106812,50822,54752,83632,35935,43988,211000
2017-08,339592,354138,321039,54860,109066,52033,56203,85655,36065,43988,211000
2017-09,340334,357577,331189,57170,111555,53593,57186,87252,36616,43988,211000
2017-10,341002,361032,343357,59861,114105,54745,58282,91162,36896,43988,211000
2017-11,341743,365110,357209,63058,117839,56718,60181,94074,39550,43988,211000
2017-12,342409,368684,369395,66492,121871,58965,62528,100902,39899,43988,276923
2018-01,343011,371727,379956,69253,124010,60067,63413,102445,41778,43988,311865
2018-02,343573,375415,392904,72803,127089,61416,64795,104988,43548,43988,311865
2018-03,344259,379510,407002,76689,131023,63190,66141,108431,44883,43988,311865
2018-04,344913,383056,419842,81013,134595,64965,67792,112108,49488,54874,311865
2018-05,345660,387080,434455,86873,139179,67243,70773,116377,52994,72845,367737
2018-06,346122,390182,446146,92783,143214,69459,72926,120199,56764,72845,367737
2018-07,346666,393333,459403,101044,148066,71783,75319,124663,61630,72845,367737
2018-08,347219,396843,472551,111491,153009,74404,77074,129007,63814,72845,367737
2018-09,347651,399628,483826,122004,157614,76605,79023,132573,65161,98017,556417
2018-10,348026,402750,495529,133079,162625,78725,81617,136709,67236,98017,556417
2018-11,348546,406077,508780,146525,168177,81276,83932,143099,68017,98017,556417
2018-12,348902,408906,519867,160929,175036,84778,86828,153153,68841,98017,556417
2019-01,349174,410962,528411,172945,178416,86116,88027,155427,69993,98017,556417
2019-02,349536,413620,539929,188011,183768,88091,89885,159412,71772,98017,556417
2019-03,349891,416267,550851,203959,189695,90521,92350,162799,74754,98017,556417
2019-04,350195,419246,560735,218244,195384,92275,94262,166038,76001,98017,667321
2019-05,350772,422672,571877,236314,203187,95393,96374,169846,77479,98017,667321
2019-06,351371,425340,580996,252899,209506,98321,98803,175722,80455,98017,667321
2019-07,351889,428362,592099,273706,217409,100954,101317,181483,86173,98017,667321
2019-08,352428,431637,601988,294399,224673,103305,103857,185505,93403,107003,885465
2019-09,352892,434693,612628,316619,233050,105841,106741,189608,95954,107003,885465
2019-10,353345,438002,623341,342480,243461,108599,109392,195705,97127,107003,1140851
2019-11,353755,442317,633928,372727,254960,111855,112845,201729,100818,112014,1272698
2019-12,354104,445476,643514,403311,268419,116495,117393,213209,104650,112014,1911525
2020-01,354462,447983,650878,427074,276514,118369,118601,215169,106316,112014,1911525
2020-02,354763,451368,659293,456363,287306,120694,120729,218638,117221,112014,1911525
2020-03,355188,455086,669306,489113,300140,123675,122671,224457,120842,112014,2033065
2020-04,355659,458107,677271,517571,312974,126649,125154,228552,131620,112014,2033065
2020-05,356071,462420,685512,547797,327945,129669,127508,234457,133699,112014,2033065
2020-06,356485,466328,693786,581468,344370,133200,131378,242043,135943,112014,2122182
2020-07,356886,469371,703156,618246,362987,137044,135119,249280,140261,112014,2122182
2020-08,357266,471962,711633,657000,382041,140588,138408,253501,144836,112014,2122182
2020-09,357687,474853,720352,698960,404604,145179,141640,259430,149202,118734,2122182
2020-10,358082,477772,728088,739075,426845,149750,145452,264757,151793,118734,2161238
2020-11,358496,480588,736967,784417,456061,155201,150481,270018,153682,118734,2361258
2020-12,358852,482972,744369,825914,487968,163410,157462,282523,160364,118734,2422695
2021-01,359044,484816,749772,858875,508548,166068,159291,284124,166383,118734,2422695
2021-02,359298,487792,757344,901814,537033,170111,161995,288201,169403,118734,2462113
2021-03,359628,490913,764779,944340,567689,175659,166225,292534,171626,118734,2462113
2021-04,359894,494085,771755,982723,597289,180824,170698,296734,172910,118734,2462113
2021-05,360203,497064,777731,1016388,623475,186165,174555,300813,173851,139895,2462113
2021-06,360442,500080,783949,1049490,650144,191776,179399,307609,175115,139895,2615890
2021-07,360659,502182,789152,1076509,672194,196568,182703,310996,176902,139895,2694688
2021-08,360907,504015,793588,1099908,691776,200336,185306,313497,178590,139895,2885555
2021-09,361136,506453,799601,1131487,721740,205948,189092,318072,179827,139895,2885555
2021-10,361365,508526,804974,1160754,752161,212032,192703,324383,182240,139895,3004936
2021-11,361583,510293,810796,1192128,783255,218161,196773,331396,185235,139895,3115549
2021-12,361825,512024,817212,1224690,820475,226939,203623,342432,192175,139895,3115549
2022-01,361935,513023,821009,1243588,837174,229321,205002,343155,192925,139895,3115549
2022-02,362108,514625,826545,1267698,862103,233861,207400,344954,194695,139895,3115549
2022-03,362245,516208,832112,1291122,884807,238376,209978,348759,198536,139895,3257055
2022-04,362446,517469,836786,1311270,906162,242047,212261,351691,199323,139895,3257055
2022-05,362598,519020,842143,1334745,930511,246568,215143,356098,202314,139895,3257055
2022-06,362827,520490,848261,1364085,960259,252507,218811,359467,202858,139895,3257055
2022-07,363006,521504,853950,1391076,986947,257702,221750,361624,203156,139895,3257055
2022-08,363233,523006,860933,1424160,1021897,263824,225157,365221,203934,139895,3257055
2022-09,363401,524453,866954,1451207,1052301,269401,229128,368417,204477,139895,3779450
2022-10,363619,525757,872521,1475159,1080362,274957,232533,372481,204777,148703,3779450
2022-11,363775,527107,878862,1508076,1119270,282652,236611,375663,205074,148703,3779450
2022-12,363871,527910,882269,1529640,1146002,288663,240124,376939,206004,148703,3779450
